"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"304","LL.1368877.rep2","HELAUT","HIEODO","DESILL","ECHPUR","KOEMAC","BAPALB","PYCVIR","GENAND","HYPPYR","OENPIL","AGASCR","SOLJUN","ELYCAN","BROKAL","RUEHUM","GL","Total B"
"305","","146.2","32.8","0","10.8","42.9","0.4","66.1","10.7","26.5","8.2","16.8","362.3","15.2","0","0.3","6.3","739.2"
"327","MH.1825752.rep2","VERSTR","LILMIC","ALLCAN","CXBLAN","ASCSYR","RATPIN","DALCAN","SPOHET","BAPBRA","VERGIG","GENAND","AMOCAN","SENHEB","BOUCUR","SOLNEM","GL","Total B"
"328","","0.7","0","0","24.6","0","132.1","0.1","0","0.2","22.1","1","1.3","1","5.3","34.5","0","222.9"
"333","LL.653844.rep2","AGANEP","DALPUR","HELHEL","VIOPDF","ASCTUB","SOLNEM","OENPIL","RUDHIR","BLECIL","ASCSUL","CXGRAV","BAPBRA","ASCHIR","AGASCR","PYCVIR","GL","Total B"
"334","","539","0","12.8","0","1.1","12.1","17.5","1.2","0","6.4","9.4","0.5","0","0.3","94.8","61.8","756.9"
"338","ML.1623993.rep2","SYMLAE","POTARU","PENHIR","SENMAR","SYMSER","DSMILL","TEUCAN","DESILL","RUDSUB","MONFIS","BAPALB","KOEMAC","PHLPIL","POLBIC","ASCSYR","GL","Total B"
"339","","0.5","20.9","18.4","0","0.7","0","22.5","0","213.2","309.2","0.8","47","0","0","0","45.4","678.6"
"345","MH.1666090.rep2","ALLCAN","PYCVIR","ARNPLA","POLREP","DSMILL","ANDGER","LESCAP","ROSSET","ROSBLA","ROSCAR","HEURIC","SILLAC","AGATEN","BOUCUR","ERASPE","GL","Total B"
"346","","0","71.7","0","-0.2","0","3.9","0.1","94.7","0","207.7","15.8","14","0","9.6","2.8","37.4","457.5"
"351","HH.1018148.rep2","ASCHIR","VIOPDF","CASCOC","CHAFAS","ERYYUC","SISANG","ALLCAN","SPOHET","SILLAC","HEURIC","BROKAL","ANECYL","BAPALB","AGATEN","CXBLAN","GL","Total B"
"352","","0","0","0","112.6","14.8","25.8","0.7","28.6","28.3","42.4","0.8","1.1","4.2","0","13.1","58.1","330.5"
"357","HH.1709432.rep2","CEAAME","AGANEP","ROSSET","MAIRAC","TRAOHI","ZIZAPT","VIOPDF","HELHEL","ASCTUB","JUNDUD","ERASPE","THADAS","HELMOL","POLREP","BAPBRA","GL","Total B"
"358","","2.5","84.9","9.2","0","7.1","4.1","0","12.5","0","3.9","1.1","1.5","535.8","3.5","0","10.5","676.6"
"362","HL.275733.rep2","SENHEB","JUNINT","SENMAR","ZIZAPT","BROKAL","VERVIR","ANECAN","OENPIL","MONFIS","CXBICK","SISANG","HYPPUN","POTARU","BAPALB","ROSCAR","GL","Total B"
"363","","0","0.5","0","12.7","3.3","4.1","18.5","0","156.4","1.8","19.1","0","3.5","0","70.8","19.5","310.2"
"368","LL.567931.rep2","SISANG","PYCVIR","PYCTEN","CXBICK","CXNORM","VERMIS","CXANNE","CXMOLE","EUPCOR","RUDHIR","VERSTR","DODMEA","PENDIG","RUEHUM","BLECIL","GL","Total B"
"369","","2.5","0","0","0","49.2","0","0","0","0","6","0","0","21.1","0","0","0","78.8"
"373","LL.660073.rep2","SCHSCO","CORPAL","ASTCAN","CAMROT","CXBREV","CXBICK","ERYYUC","DESILL","PANVIR","SOLNEM","HELOCC","JUNDUD","VERVIR","PYCVIR","MONBRA","GL","Total B"
"374","","11.4","9.4","35.6","0","13.8","2.2","12.6","0","65.2","36.9","308.6","0.4","0","10.1","22.4","0","528.6"
"380","MH.75072.rep2","DESCAN","ASCSUL","SOLNEM","HELSTR","BROKAL","CXBLAN","LILMIC","SILTER","CASCOC","ASCVER","MAIRAC","PHYVIR","BAPBRA","DSMILL","AGATEN","GL","Total B"
"381","","4.3","0","57.6","3.5","0.6","65.4","0","16.8","0.3","0.7","0","60.8","0.8","0.6","0","28.5","239.9"
"390","ML.975885.rep2","RUDTRI","DALPUR","VERSTR","KOEMAC","SISANG","AGASCR","ARNPLA","PYCVIR","HEURIC","ROSBLA","AGANEP","SILINT","MONBRA","ZIZAPT","ASCHIR","GL","Total B"
"391","","4.6","0.4","0.3","1.5","12.7","50.4","2.7","82.5","3.9","32.3","35.8","2.9","20.1","28.7","0","71.8","350.6"
"399","HL.1338677.rep2","CAMROT","ASCSUL","DODMEA","OENPIL","MAIRAC","VIOPDF","HYPPYR","DSMILL","HELMOL","MONFIS","VERSTR","CXANNE","ERYYUC","HELHEL","RUEHUM","GL","Total B"
"400","","0","2.4","0","24.8","0","0","0.1","-0.1","3.2","61.1","0","78.5","31.3","58.5","0.1","11.9","271.8"
"403","MH.928535.rep2","HIEODO","PENHIR","DSMILL","KOEMAC","BROKAL","HEURIC","LILMIC","SENHEB","ALLCAN","SILTER","PANVIR","BAPBRA","HELMOL","DODMEA","VERMIS","GL","Total B"
"404","","4.7","0","0","28.5","0.1","76.1","0","2.9","0.2","25","5.9","0","345.7","0.1","0.5","9.6","499.3"
"407","ML.628076.rep2","POLREP","RUDSUB","PHLPIL","SCHSCO","SYMOOL","PYCPIL","SYMERI","CAMROT","VIOPDF","ELYCAN","CXANNE","OENPIL","POTARU","MONBRA","DALPUR","GL","Total B"
"408","","1.5","61.7","0","3.7","19.7","5.1","457.1","0","0","21.9","42.2","16.5","2.6","2","0","14.9","648.9"
"411","LH.389271.rep2","CXBLAN","ASCHIR","CXMOLE","ANTNEG","JUNTEN","AGANEP","CHAFAS","SENMAR","LIAPYC","AGATEN","BLECIL","SOLNEM","BROKAL","CASCOC","ERASPE","GL","Total B"
"412","","18.8","0","39.5","0.1","2.2","393.6","0","1.2","4.6","0","11.5","0","0","0","0","49.6","521.1"
"416","HH.623705.rep2","ALLCAN","AMOCAN","ZIZAPT","VIOPDF","SILTER","JUNTEN","ZIZAUR","HYPPYR","POLBIC","CHAFAS","ERASPE","SISANG","CASCOC","CEAAME","ERYYUC","GL","Total B"
"417","","0","0.1","2.8","0.1","22.7","0.2","64.8","3.3","0","0","0","15.1","0","0.4","40.1","6.4","156"
"428","LH.1681808.rep2","CASCOC","CXBICK","LIASPI","OLIRIG","AMOCAN","AGANEP","SPOHET","SCHSCO","KOEMAC","CXNORM","POLBIC","BRIEUP","SORNUT","CEAAME","CXBLAN","GL","Total B"
"429","","0","1.7","7.5","347.7","0","302.2","1.5","2.3","11.1","13.9","0","6.1","115.1","6.6","49.6","45.8","911.1"
