"","plot","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvipercent.1","gndvipercent.1","gdvi2percent.1","ndvipercent.25","gndvipercent.25","gdvi2percent.25","ndviavg.1","gndviavg.1","gdvi2avg.1"
"43",43,0.740610392952075,0.613920660698086,0.950885995169266,2164.36835573874,3571.24215317024,15206.7495820504,10643.0990917167,1,1,1,1,1,1,0.740610392952075,0.613920660698086,0.950885995169266
"44",44,0.50513501618221,0.498394588079287,0.777170096205552,3012.248134938,3104.92341231563,9598.11893481485,6722.26760493321,1,1,1,1,1,1,0.50513501618221,0.498394588079287,0.777170096205552
"45",45,0.800705196509817,0.678473664527017,0.972735429824675,1763.96197593769,3170.8533127866,16778.5479033944,10808.7898145435,1,1,1,1,1,1,0.800705196509817,0.678473664527017,0.972735429824675
"46",46,0.752581383625821,0.685803721928162,0.958930662289831,1847.16332787939,2471.40716999074,13464.7637529178,7680.68487673225,1,1,1,1,1,1,0.752581383625821,0.685803721928162,0.958930662289831
"47",47,0.72760812936014,0.66312079527788,0.943463221879549,1777.67128053584,2384.60856736523,12482.9069472998,7340.1707892797,1,1,1,0.999770401469431,1,1,0.72760812936014,0.66312079527788,0.943463221879549
"48",48,0.488314791752457,0.491764442568664,0.776109590947885,2448.59813387438,2501.30785469294,7590.16942655678,4683.16974739411,1,1,1,0.999712404933853,0.999808269955902,1,0.488314791752457,0.491764442568664,0.776109590947885
"49",49,0.755476855366672,0.645487552952708,0.957975796718197,2197.16674658323,3498.99308075153,16601.9282527855,10586.3587220821,1,1,1,1,1,1,0.755476855366672,0.645487552952708,0.957975796718197
"50",50,0.77453697051068,0.663430614286577,0.964221017902412,2096.16447691136,3449.55512431109,17345.4730060721,11271.4925969721,1,1,1,1,1,1,0.77453697051068,0.663430614286577,0.964221017902412
"51",51,0.611631288666576,0.551546814568414,0.881493873511829,2568.55036701255,3095.68463527399,10886.662927141,7383.85859528318,1,1,1,1,1,1,0.611631288666576,0.551546814568414,0.881493873511829
"52",52,0.698845140700835,0.617517696132631,0.925793456683419,2327.32957849054,3280.37381711576,14182.454770461,9582.2314610964,1,1,1,0.999764692040708,0.999735278545797,1,0.698845140700835,0.617517696132631,0.925793456683419
"53",53,0.619689323335094,0.564986814534543,0.881194700311595,3067.38614708796,3690.61856903135,13106.2313456642,8782.86839551579,1,1,1,0.9998352336387,0.99980228036644,1,0.619689323335094,0.564986814534543,0.881194700311595
"54",54,0.706954722774619,0.633202533668497,0.931193791753709,2250.23327870385,3090.5576162567,14125.1202647023,9314.67348474769,1,1,1,0.998133265835601,0.999462127444156,1,0.706954722774619,0.633202533668497,0.931193791753709
"55",55,0.786946369601914,0.679690130166271,0.968279472075948,1898.75331824791,3113.3876756433,16646.5477063372,11314.4905977159,1,1,1,1,1,1,0.786946369601914,0.679690130166271,0.968279472075948
"56",56,0.737625931881067,0.661088455097699,0.947242788457966,1648.23847798507,2313.49772407616,11804.9967280388,7811.21084975224,1,1,1,1,1,1,0.737625931881067,0.661088455097699,0.947242788457966
"57",57,0.739911405195755,0.662671602817894,0.947160559350794,1842.4501904516,2538.91611862008,12712.7510319371,8479.57857515876,1,1,1,1,0.999885408708938,1,0.739911405195755,0.662671602817894,0.947160559350794
"58",58,0.790140275864486,0.695970122689749,0.969469361702163,1725.47074973224,2710.62187072759,15372.5767699756,10768.8519174702,1,1,1,1,0.999940456697133,1,0.790140275864486,0.695970122689749,0.969469361702163
"59",59,0.7611636609683,0.704125415563251,0.961493005191425,1878.77959852492,2437.5713954551,14300.7167787304,9571.99554775659,1,1,1,1,1,1,0.7611636609683,0.704125415563251,0.961493005191425
"60",60,0.751422981239728,0.697245574845326,0.949682007535086,2039.37354230103,2595.63088515205,15144.7110377082,9599.720957372,1,1,1,1,1,1,0.751422981239728,0.697245574845326,0.949682007535086
"61",61,0.747553737054834,0.65715660998894,0.951601314318354,2028.74102106744,3013.61201433644,14893.4282616215,9610.4997881911,1,1,1,1,1,1,0.747553737054834,0.65715660998894,0.951601314318354
"62",62,0.786338175524712,0.660433321174478,0.96742073893913,1808.56025255872,3220.94685193276,16045.1052466496,10574.5410794973,1,1,1,1,1,1,0.786338175524712,0.660433321174478,0.96742073893913
"63",63,0.778008842620501,0.681396800013483,0.963962272905994,1629.97472508182,2588.45403717484,14238.1779928364,8844.37422048968,1,1,1,1,1,1,0.778008842620501,0.681396800013483,0.963962272905994
