Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Maianthemum_racemosum,32.9619,193,327,2.23,44.34,0.19,244,0.57,21.83,10.93,0.23,4.19,0.92,chamaephytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACU,55.8
Maianthemum_stellatum,17.2565,187,31,2.48,45.01,0.11,281,0.39,24.17,9.09,0.23,1.87,3.97,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FAC,29.6
Monarda_bradburiana,1.13,362.6,123.2,2.15,44.9,0.13,405,0.03,29.78,6.76,0.31,6.15,2.13,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,4,UPL,3.3
Monarda_fistulosa,0.2464,363.8,154.2,1.7,44.77,0.15,434.9,0.4,88.76,5.62,0.26,2.25,9.19,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FACU,1.9
Oenothera_pilosella,0.648,269.7,117.9,2.26,42.36,0.21,37.5,0.09,60.96,7.85,0.26,9.42,21.47,hemicryptophytes,C3,0,0,0,0,0,0,0,0,F,0,3,5,FAC,2.3
Packera_aurea,0.2556,292.9,320,1.44,41.2,0.12,170.5,0.57,43.21,4.97,0.22,4.15,28.16,hemicryptophytes,C3,1,0,0,0,0,1,1,0,F,0,3,5,FACW,3.4
Panicum_virgatum,0.7223,529.3,113.5,1.57,44.32,0.14,477.4,0.05,109.97,34.58,0.22,0.87,106.5,hemicryptophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FAC,4.4
Parthenium_integrifolium,0.9682,243.4,133.6,2.18,44.28,0.32,184.4,0.61,81.7,17.54,0.42,7.9,41.5,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,UPL,11.2
Penstemon_digitalis,0.2451,317.6,118.9,1.28,45.52,0.12,291.2,0.35,67.72,11.84,0.23,3.03,61.88,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,5,FAC,5.2
Penstemon_hirsutus,0.1411,376.6,148.1,1.86,42.65,0.31,69.4,0.1,19.25,8.63,0.42,8.11,123.44,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,2.3
Phlox_pilosa,1.1595,299.9,148.6,2.04,41.2,0.14,364.9,0.22,27.56,4.36,0.35,0.49,4.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FACU,9.6
Physostegia_virginiana,2.6,316,72.9,1.39,47.36,0.31,392.2,0.22,83.08,7.82,0.38,1.24,0.94,geophytes,C3,1,1,0,0,0,1,0,0,F,0,3,5,FACW,16.7
Polemonium_reptans,9.081,242.2,179,2.53,48.25,0.32,169,0.42,70.13,23.54,0.32,1.13,43.44,chamaephytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FAC,12.1
Polygonatum_biflorum,16.175,197,292,2.57,44.57,0.27,215,0.62,58.82,10.89,0.25,3.89,7.02,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACU,41.6
Potentilla_arguta,0.1145,447.1,11.8,1.22,44.41,0.34,351.6,0.04,58.09,15.05,0.46,8.11,106.5,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,6,FACU,2.6
Potentilla_simplex,0.1543,227,44,2.53,44.05,0.11,25,0.32,18.17,5.03,0.21,6.15,12.27,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,4,FACU,2.6
Pycnanthemum_pilosum,0.3348,305.4,115.4,2.38,43.27,0.33,426.7,0.43,46.39,6.43,0.42,1,3.97,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,7,UPL,1
Pycnanthemum_tenuifolium,0.07,187.1,11.8,2.23,46.98,0.34,49.5,0.22,97.15,7.4,0.41,7.21,11.38,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,6,FAC,1.2
Pycnanthemum_verticillatum,0.5338,374.6,12.3,1.89,44.28,0.31,434.9,0.61,90.72,6.53,0.44,3.5,4.08,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,7,UPL,1.9
Pycnanthemum_virginianum,0.11,392.5,128.7,1.28,44.34,0.14,453.7,0.28,71.43,3.28,0.27,0.46,0.92,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,7,FACW,5.3
Ratibida_pinnata,0.5335,327.7,115.9,1.69,39.89,0.19,426.7,0.06,107.08,10.94,0.44,8.09,43.44,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,5.5
Rosa_blanda,10,453.7,92.2,1.75,44.77,0.28,377.7,0.57,145.09,18.4,0.26,12.32,9.19,chamaephytes,C3,0,1,0,0,0,0,0,0,SS,0,3,5,FACU,0.9
Rosa_carolina,19.3273,453.7,141.2,2.22,45.01,0.12,574.2,0.62,117.47,13.88,0.22,8.09,3.97,chamaephytes,C3,0,1,0,0,0,0,0,0,SS,0,3,5,FACU,0.9
Rosa_setigera,9.081,586.1,17.4,2.99,46.98,0.34,574.2,0.62,114.88,21.33,0.21,8.11,4.08,geophytes,C3,0,1,0,0,0,0,0,0,SS,0,3,6,FACU,12.3
Rudbeckia_fulgida,0.89,295.3,67.6,1.61,41.53,0.12,26.7,0.37,125.8,7.85,0.23,18.45,47.04,hemicryptophytes,C3,1,0,0,0,0,0,1,0,F,0,3,7,OBL,1.9
Rudbeckia_hirta,0.1937,232.5,196.9,1.61,37.55,0.11,329.4,0.42,53.85,5.68,0.41,1.39,7.08,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,2,6,FACU,7.1
Rudbeckia_subtomentosa,0.3793,328.4,113.4,1.68,43.27,0.31,377.7,0.2,104.76,8.83,0.4,5.79,18.58,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,14
Rudbeckia_triloba,0.77,242.8,198.4,1.63,41.94,0.27,393,0.62,103.44,7.82,0.29,1.13,73.77,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,17.3
Ruellia_humilis,0.7223,284.2,247.7,1.28,42.65,0.12,292.4,0.08,53.19,3.56,0.34,1.1,2.02,geophytes,C3,0,0,0,0,0,0,0,0,F,0,3,5,FACU,2.1
Schizachyrium_scoparium,0.578,548.9,112.7,1.39,44.18,0.22,52.6,0.04,59.18,21.33,0.27,0.34,153.5,hemicryptophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FACU,4.4
