plot	type	species	plot.biomass.withGL	mono.total	mono.bag	mono.gl	mono.gl.total	mono.gl.bag												Collector	Date
88	Plug	LL.1091767.rep1	Total B	JUNDUD	MONFIS	MONBRA	ASCSUL	BRIEUP	HELHEL	HELMOL	VERSTR	ERASPE	ELYCAN	PYCVIR	LESCAP	CXBICK	CAMROT	BAPALB	GL		11/3/2017
			732	0.8	295.7	6.4	0	10.4	51	174	0	8.7	71.7	87.1	0	25.4	0	0.8	0		
			Tot. Weight	5.1	365.1	10.7		14.6	62.3	195.4		12.9	83	108.5		36.7		5.1	0		
			Bag Weight	4.3	69.4	4.3		4.2	11.3	21.4		4.2	11.3	21.4		11.3		4.3	0		
89	Mono	RUDTRI	0			0															
91	Mono	DESCAN	74	78.3	4.3	0															11/9/2017
92	Plug	LH.1773854.rep1	Total B	SPOHET	PENDIG	DSMILL	ROSSET	DESILL	SORNUT	ERASPE	ASCHIR	SENMAR	PENHIR	ANDGER	HELPAU	BAPALB	RUDFUL	ASCVER	GL	ALT	10/16/2017
			2638.2	1.5	153.5	0.2	69.2	7.4	73.9	0.7	0	0	24.6	0.4	2146.1	0	119.4	0.3	41		
			Tot. Weight	5.7	174.8	4.4	90.5	11.7	95.3	5	0	0	28.8	4.7	2388.5	0	140.6	4.5	45.3		
			Bag Weight	4.2	21.3	4.2	21.3	4.3	21.4	4.3	0	0	4.2	4.3	242.4	0	21.2	4.2	4.3		
93	Mono	HYPPYR	161	166.8	21.4	15.6	19.8	4.2													11/9/2017
94	Plug	MH.1666090.rep1	Total B	BOUCUR	AGATEN	ROSSET	ROSBLA	PYCVIR	LESCAP	DSMILL	ALLCAN	ANDGER	POLREP	ERASPE	HEURIC	SILLAC	ARNPLA	ROSCAR	GL		11/6/2017
			317.2	50.8	0	39.3	29.3	4.7	7.4	0.4	0	38.4	25.4	6.7	2.5	23.4	50.2	8.8	29.9		
			Tot. Weight	62.1		60.6	50.6	9	11.7	4.7		49.7	36.8	11	6.8	34.8	61.4	20	34.1		
			Bag Weight	11.3		21.3	21.3	4.3	4.3	4.3		11.3	11.4	4.3	4.3	11.4	11.2	11.2	4.2		
95	Plug	HH.1124950.rep1	Total B	ANEVIR	CXBICK	POLBIC	ROSCAR	ECHPAL	POLREP	OENPIL	AMOCAN	SYMNOV	RUDFUL	ELYCAN	SPOHET	PHYVIR	LILMIC	BAPBRA	GL		11/6/2017
			1790	7.1	17.3	0	6.6	9.1	-0.1	25.9	0	1253	97.6	191	2.4	65.3	0	0	114.8		
			Tot. Weight	11.4	21.6		10.8	13.4	4.2	30.1		1349.5	108.8	212.4	6.6	76.5		4.2	126.1		
			Bag Weight	4.3	4.3		4.2	4.3	4.3	4.2		96.5	11.2	21.4	4.2	11.2		4.2	11.3		
96	Plug	ML.975885.rep1	Total B	RUDTRI	MONBRA	DALPUR	ASCHIR	AGANEP	ARNPLA	SILINT	KOEMAC	VERSTR	SISANG	ROSBLA	HEURIC	AGASCR	PYCVIR	ZIZAPT	GL	ALT	10/20/2017
			1037.1	20.2	36.6	0.7	0.1	535.5	15.3	38.6	69.7	0.8	15.9	13.3	3.4	114.8	30.8	19	122.4		
			Tot. Weight	31.4	47.9	4.9	4.3	605.3	26.6	49.8	91	5	27.1	24.5	7.7	163.2	42	30.2	133.7		
			Bag Weight	11.2	11.3	4.2	4.2	69.8	11.3	11.2	21.3	4.2	11.2	11.2	4.3	48.4	11.2	11.2	11.3		
97	Mono	CXBICK	27.7	39	11.3	0															
100	Mono	GENAND	19.5	23.8	4.3	0															11/9/2017
101	Mono	PENDIG	231.4	264.6	48.3	15.1	19.4	4.3													11/9/2017
103	Mono	CAMROT	22.6	33.8	11.2	0															11/9/2017
105	Plug	ML.1623993.rep1	Total B	KOEMAC	MONFIS	TEUCAN	POLBIC	PENHIR	POTARU	SYMSER	SYMLAE	DESILL	ASCSYR	PHLPIL	SENMAR	RUDSUB	DSMILL	BAPALB	GL	ALT	10/23/2017
			785.6	53.7	157.7	5.9	0	51.2	43.3	0	54.7	11	1	0	0	349.2	5.6	1.3	51		
			Tot. Weight	65	178.9	17.1	0	62.5	54.5	0	66	22.2	5.3	0	0	397.8	9.9	5.5	62.3		
			Bag Weight	11.3	21.2	11.2	0	11.3	11.2	0	11.3	11.2	4.3	0	0	48.6	4.3	4.2	11.3		
106	Mono	PHYVIR	131.1	152.5	21.4	0															11/9/2017
107	Mono	AGATEN	0			0															
108	Mono	PARINT	114.7	136	21.3	0															11/9/2017
109	Mono	HELAUT	204.6	249.5	49.6	4.7	9	4.3													11/13/2017
111	Mono	SYMNOV	259.4	287.4	49.8	21.8	26.1	4.3													11/13/2017
114	Mono	HELPAU	222.8	246.3	49.7	26.2	30.5	4.3													11/13/2017
115	Mono	EUTGRA	128.3	140.6	21.3	9	13.2	4.2													11/13/2017
117	Mono	VERGIG	89.9	93.9	21.2	17.2	21.5	4.3													11/13/2017
119	Mono	ASTCAN	49.3	69.8	21.2	0.7	5	4.3													11/13/2017
120	Plug	HL.1338677.rep1	Total B	CXANNE	MAIRAC	HYPPYR	RUEHUM	DODMEA	HELHEL	ASCSUL	CAMROT	ERYYUC	HELMOL	VERSTR	MONFIS	OENPIL	DSMILL	VIOPDF	GL	ALT	10/23/2017
			1196.7	72.6	0	1.2	0.7	0.2	8.1	0	0.7	7.6	784	0	265.5	9.6	19.4	0.7	26.4		
			Tot. Weight	93.8	0	5.4	5	4.5	19.3	0	5	11.8	880.4	0	313.9	13.9	23.7	5	37.6		
			Bag Weight	21.2	0	4.2	4.3	4.3	11.2	0	4.3	4.2	96.4	0	48.4	4.3	4.3	4.3	11.2		
121	Mono	LESCAP	26.6	38	11.4	0															11/13/2017
122	Mono	CAMSCI	0			0															
123	Mono	DESILL	71.1	53.8	11.2	28.5	32.7	4.2													11/13/2017
124	Plug	LL.653844.rep1	Total B	ASCTUB	BLECIL	HELHEL	BAPBRA	ASCHIR	VIOPDF	CXGRAV	AGASCR	SOLNEM	PYCVIR	AGANEP	RUDHIR	ASCSUL	DALPUR	OENPIL	GL	ALT	10/23/2017
			921.4	0.5	0	146.6	0	0	0	50.2	27.8	25.2	8.4	544.3	2.5	5.4	0.5	4.7	105.3		
			Tot. Weight	4.8		168			4.3	61.4	39	40.7	12.7	615.2	6.8	9.6	4.8	9	116.4		
			Bag Weight	4.3		21.4			4.3	11.2	11.2	15.5	4.3	70.9	4.3	4.2	4.3	4.3	11.1		
125	Mono	BROKAL	10.2	21.4	11.2	0															
126	Mono	CHAFAS	139	53.2	21.4	107.2	118.5	11.3													11/9/2017
127	Mono	POTARU	8	12.2	4.2	0															11/14/2017
128	Plug	LL.1368877.rep1	Total B	AGASCR	SOLJUN	BROKAL	HYPPYR	ECHPUR	KOEMAC	ELYCAN	BAPALB	HELAUT	OENPIL	RUEHUM	PYCVIR	HIEODO	GENAND	DESILL	GL		11/3/2017
			886.8	108.2	255.8	0	4.1	32	47.7	0.8	0	220.2	4.7	0	98.6	85.2	0	0.3	29.2		
			Tot. Weight	129.5	303.9		8.3	53.3	68.9	5.1		289.4	15.9		119.9	96.5		4.5	33.5		
			Bag Weight	21.3	48.1		4.2	21.3	21.2	4.3		69.2	11.2		21.3	11.3		4.2	4.3		
129	Mono	ECHPUR	4.2	8.5	4.3	0															11/13/2017
130	Mono	CXBREV	98.9	142.7	48.5	4.7	9	4.3													
131	Mono	SILTER	71.9	93.2	21.3	0															11/13/2017
132	Mono	SPOHET	53.8	58.5	21.1	16.4	20.7	4.3													11/13/2017
133	Mono	ROSCAR	113.8	135	21.2	0															11/13/2017
134	Mono	RUDHIR	31.3	42.6	11.3	0															
135	Plug	HL.1403369.rep1	Total B	POLBIC	SILINT	PARINT	ANECYL	PYCVIR	HEURIC	VERFAS	LESCAP	ALLCER	ZIZAPT	POTARU	ZIZAUR	VIOPDF	KOEMAC	GENAND	GL	ALT	10/23/2017
			418.9	0	186.3	25.1	4.3	0.5	37.5	0	1.9	1.3	6.1	2	67.7	0	44.2	7.5	34.5		
			Tot. Weight		234.6	33.6	8.6	4.8	48.8		6.2	5.6	10.3	6.3	89.1		55.4	11.7	45.6		
			Bag Weight		48.3	8.5	4.3	4.3	11.3		4.3	4.3	4.2	4.3	21.4		11.2	4.2	11.1		
136	Mono	ROSBLA	151.7	140.1	21.3	32.9	37.2	4.3							 						11/13/2017
137	Mono	THADAS	100.8	87.8	21.3	34.3	38.5	4.2													11/13/2017
140	Mono	AGANEP	152.7	105.1	21.2	68.8	80	11.2													11/13/2017
141	Mono	EUPALT	150.9	158.6	21.2	13.5	24.7	11.2													11/13/2017
142	Mono	ASCVER	32	43.3	11.3	0															11/9/2017
143	Mono	OENPIL	34.2	45.5	11.3	0															11/9/2017
144	Mono	ZIZAPT	93.3	70.4	11.2	34.1	45.4	11.3													11/9/2017
145	Mono	LILMIC	0			0															
146	Mono	RUDFUL	401.4	438.8	49.6	12.2	16.5	4.3													11/13/2017
148	Plug	ML.585975.rep1	Total B	EUPCOR	BAPALB	CEAAME	CXGRAV	PHLPIL	EUPALT	BRIEUP	ALLCAN	DALPUR	CXNORM	GENAND	HYPPYR	PHYVIR	VERMIS	MONBRA	GL	ALT	11/1/2017
			243.4	0.5	1.1	1.1	30.5	0	46.5	32.5	1.8	8.5	10.5	2.7	12.3	63.2	0	0	32.2		
			Tot. Weight	4.7	5.4	5.4	41.8		57.7	43.6	6	12.8	21.8	7	16.5	74.4			36.4		
			Bag Weight	4.2	4.3	4.3	11.3		11.2	11.1	4.2	4.3	11.3	4.3	4.2	11.2			4.2		
149	Mono	ASCTUB	41.9	53.1	11.2		26.9	11.3													11/13/2017
152	Plug	LH.1681808.rep1	Total B	SPOHET	KOEMAC	AMOCAN	AGANEP	CXBLAN	CXBICK	SORNUT	SCHSCO	POLBIC	BRIEUP	OLIRIG	CXNORM	CASCOC	LIASPI	CEAAME	GL	ALT	10/30/2017
			507.8	0	44.2	3.4	203.2	12.5	4.6	25	2.9	0	0	1.9	30.5	0	179.6	0	0		
			Tot. Weight		55.5	7.6	252.7	16.8	8.9	36.2	7.2			6.1	41.8		201		0		
			Bag Weight		11.3	4.2	49.5	4.3	4.3	11.2	4.3			4.2	11.3		21.4		0		
153	Mono	RUDSUB	19.4	30.7	11.3	0															11/13/2017
155	Mono	ARNPLA	292.4	226.2	21.3	87.5	98.7	11.2													11/13/2017
156	Mono	LIAASP	230.4	241.7	11.3	0															11/13/2017
157	Mono	VERMIS	61.2	68.1	11.3	4.4	15.7	11.3													11/13/2017
158	Mono	HYPPUN	0.4	4.6	4.2	0															11/13/2017
159	Plug	LL.567931.rep1	Total B	DODMEA	BLECIL	VERSTR	PENDIG	CXNORM	CXBICK	CXMOLE	PYCTEN	RUEHUM	EUPCOR	VERMIS	SISANG	PYCVIR	RUDHIR	CXANNE	GL		11/8/2017
			587.3	0	24.8	0.1	139	16.1	1.9	49.1	163.8	0	0.9	0	19.2	79.6	0.7	78.9	13.2		
			Tot. Weight		33.4	4.3	150.2	27.3	6.2	71.5	189.3		5.2		30.3	102	5	111.3	24.4		
			Bag Weight		8.6	4.2	11.2	11.2	4.3	22.4	25.5		4.3		11.1	22.4	4.3	32.4	11.2		
160	Plug	MH.1987913.rep1	Total B	HIEODO	HEURIC	DALPUR	EUTGRA	SOLNEM	TRAOHI	CXBLAN	ROSCAR	CAMSCI	PANVIR	ANDGER	MONBRA	ALLCER	PARINT	JUNDUD	GL	ALT	10/30/2017
			399.1	10.7	21.6	0	174	26	11.9	20.5	1.5	0	41.7	3.3	36.5	0	25.5	6.2	19.7		
			Tot. Weight	15	25.8		185.3	30.2	16.1	31.7	5.7		52.9	7.6	47.6		29.7	10.5	24		
			Bag Weight	4.3	4.2		11.3	4.2	4.2	11.2	4.2		11.2	4.3	11.1		4.2	4.3	4.3		
163	Plug	HH.1709432.rep1	Total B	ROSSET	ASCTUB	THADAS	AGANEP	JUNDUD	HELMOL	TRAOHI	HELHEL	BAPBRA	POLREP	MAIRAC	ZIZAPT	CEAAME	VIOPDF	ERASPE	GL	ALT	10/23/2017
			747.8	1.4	3.7	29.5	171.1	2.8	400.6	35.7	8.3	0.4	5.5	0	25.6	5.9	0	1.8	55.5		
			Tot. Weight	5.6	8	40.7	220.8	7.1	450.2	46.9	12.6	4.7	9.8		36.8	10.2		6.1	66.7		
			Bag Weight	4.2	4.3	11.2	49.7	4.3	49.6	11.2	4.3	4.3	4.3		11.2	4.3		4.3	11.2		
164	Mono	CASCOC	0			0															
165	Mono	SPIALB	103.1	72.8	11.3	41.6	52.8	11.2													11/13/2017
166	Mono	ELYCAN	79.3	100.6	21.3	0															11/13/2017
167	Mono	SYMLAE	391.4	436.6	49.8	4.6	8.9	4.3													11/13/2017
168	Mono	MONFIS	345.02	329.9	48.88	64	68.3	4.3													11/13/2017
169	Mono	ERYYUC	104	123.7	21.3	1.6	5.9	4.3													11/13/2017
170	Mono	ASCHIR	0			0															
172	Plug	MH.75072.rep1	Total B	ASCVER	MAIRAC	DESCAN	BAPBRA	AGATEN	ASCSUL	PHYVIR	SOLNEM	LILMIC	DSMILL	SILTER	CASCOC	BROKAL	HELSTR	CXBLAN	GL	ALT	10/27/2017
			206.6	0.5	0	20.3	2.8	0.2	6.5	123	25.1	0	0.9	1.7	0	0.2	0	6.9	18.5		
			Tot. Weight	4.8		31.5	7.1	4.4	10.7	144.4	36.3		5.2	5.9		4.5		11.2	22.7		
			Bag Weight	4.3		11.2	4.3	4.2	4.2	21.4	11.2		4.3	4.2		4.3		4.3	4.2		
173	Mono	MAIRAC	0			0															
174	Plug	HH.623705.rep1	Total B	VIOPDF	CEAAME	JUNTEN	ZIZAUR	HYPPYR	SISANG	ERYYUC	ZIZAPT	ALLCAN	AMOCAN	CHAFAS	SILTER	CASCOC	ERASPE	POLBIC	GL	ALT	10/30/2017
			186.7	0.4	0.2	0	0	0.1	0	0	160	0	0	0	0	0	0	0	26		
			Tot. Weight	4.7	4.5			4.3			181.3					4.2			30.2		
			Bag Weight	4.3	4.3			4.2			21.3					4.2			4.2		
175	Mono	AMOCAN	2.3	6.5	4.2	0															11/13/2017
176	Mono	PYCPIL	236.3	212.6	21.3	45	49.2	4.2													11/13/2017
177	Mono	SYMSER	84.9	85.3	11.3	10.9	15.2	4.3													11/13/2017
178	Mono	POLREP	44.3	65.6	21.3	0															11/13/2017
180	Mono	SISANG	0			0															
181	Plug	LH.236970.rep1	Total B	BAPBRA	CHAFAS	BRIEUP	AGANEP	SORNUT	LIAASP	ELYCAN	CASCOC	BOUCUR	AMOCAN	CXANNE	LIAPYC	ERYYUC	PANVIR	CXBLAN	GL		11/6/2017
			426.2	0.3	0	0	221.4	49.6	0	29.2	0	9.8	0	44.9	38.5	22.5	6	4	0		
