#Label	X/Longitude	Y/Latitude	Z/Altitude	X_est	Y_est	Z_est
point 632				-88.092691	41.820699	223.150334
point 633				-88.092692	41.820704	223.170257
point 634				-88.092716	41.820703	223.475393
point 635				-88.092718	41.820722	223.172077
point 636				-88.092693	41.820723	223.210180
point 637				-88.092694	41.820726	223.184425
point 638				-88.092720	41.820725	223.162155
point 639				-88.092720	41.820746	223.206099
point 640				-88.092694	41.820746	223.264461
point 641				-88.092696	41.820750	223.211589
point 642				-88.092720	41.820750	223.180095
point 643				-88.092721	41.820767	223.213401
point 644				-88.092696	41.820768	223.266546
point 645				-88.092696	41.820771	223.257272
point 646				-88.092724	41.820771	223.183442
point 647				-88.092725	41.820791	223.223556
point 648				-88.092696	41.820790	223.311479
point 649				-88.092644	41.820382	223.269925
point 650				-88.092672	41.820382	223.053634
point 651				-88.092674	41.820402	223.166361
point 652				-88.092646	41.820402	223.359932
point 653				-88.092647	41.820405	223.175859
point 654				-88.092674	41.820404	223.116254
point 655				-88.092674	41.820423	223.234825
point 656				-88.092649	41.820423	223.200171
point 657				-88.092649	41.820428	223.204311
point 658				-88.092674	41.820427	223.146032
point 659				-88.092675	41.820447	223.172474
point 660				-88.092649	41.820447	223.447234
point 661				-88.092649	41.820452	223.437363
point 662				-88.092674	41.820452	223.209969
point 663				-88.092675	41.820471	223.305573
point 664				-88.092651	41.820470	223.409454
point 665				-88.092651	41.820475	223.406438
point 666				-88.092675	41.820474	223.643250
point 667				-88.092676	41.820492	223.244245
point 668				-88.092652	41.820493	223.529230
point 669				-88.092652	41.820497	223.474863
point 670				-88.092676	41.820496	223.425869
point 671				-88.092678	41.820516	224.003961
point 672				-88.092653	41.820516	224.195815
point 673				-88.092653	41.820519	223.794179
point 674				-88.092678	41.820520	223.656090
point 675				-88.092679	41.820538	223.381519
point 676				-88.092655	41.820540	223.555024
point 677				-88.092655	41.820544	223.452959
point 678				-88.092680	41.820542	223.428134
point 679				-88.092680	41.820562	223.427784
point 680				-88.092655	41.820563	223.456418
point 681				-88.092655	41.820565	223.457596
point 682				-88.092680	41.820565	223.417743
point 683				-88.092679	41.820586	223.447205
point 684				-88.092654	41.820587	223.456255
point 685				-88.092654	41.820589	223.471973
point 686				-88.092680	41.820589	223.438933
point 687				-88.092682	41.820609	223.386887
point 688				-88.092655	41.820608	223.411006
point 689				-88.092657	41.820613	223.393819
point 690				-88.092682	41.820612	223.354903
point 691				-88.092681	41.820630	223.321610
