acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Rudbeckia maxima	Rudbeckia maxima	Rudbeckia maxima		0		Great Coneflower			Rudbeckia maxima			north america	"MG, MCG"	6/16/2015	Asteraceae			3.7133									298.7																					Y										F	F		0	FAC								N		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1			#N/A	#N/A
Rudbeckia subtomentosa	Rudbeckia subtomentosa	Rudbeckia subtomentosa	rudsub	rudsub		Sweet Coneflower	Rudbeckia subtomentosa	Include	Rudbeckia subtomentosa	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Asteraceae	UW		0.3793	328.4	113.4	1.68	43.27		377.7	0.2	109.24	104.76	8.83	0.4	5.79	18.58	P	3	geophytes	Unassisted	Biotic Unspecialized	Aestival	July	7	October	4	C3	yellow;green	complete	achene	head	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FACU	FACU	14					14	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Rudbeckia triloba	Rudbeckia triloba	Rudbeckia triloba	rudtri	rudtri		Brown-Eyed-Susan		Include	Rudbeckia triloba	Include		"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Asteraceae	MOR		0.77	242.8					393		118.24	103.44		0.29		73.77	P	3				Autumnal	August	8	October	3	C3	orange;yellow	complete;regular;irregular	achene	head	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	F	F	H	0	FACU	FACU	17.3					17.3	Y	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Green	1	1
Ruellia humilis	Ruellia humilis	Ruellia humilis	ruehum	ruehum		Fringe-Leaf Wild Petunia		Include	Ruellia humilis	Include		0			Acanthaceae	MOR			284.2					292.4		58.44	53.19		0.34		2.02	P	3				Vernal	May	5	October	6	C3	blue;violet;white	complete;regular	capsule	dichasium		0	0	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FACU	FACU	2.1					2.1	N																											Green	1	1
Ruellia strepens	Ruellia strepens	Ruellia strepens	ruestr	ruestr		Limestone Wild Petunia			Ruellia strepens			"woodland species, non native to MN"	"MG, MCG"	9/24/2015	Acanthaceae																	P						May		October	6	C3	blue;violet;white	complete;regular	capsule	dichasium;solitary		Y								perfect	occasional				0	FAC	FAC							N	N																											#N/A	#N/A
Rumex altissimus	Rumex altissimus	Rumex altissimus	rumalt	rumalt		Pale Dock	Rumex altissimus	Include	Rumex altissimus	Include	1	"0, FACW,found in WMP per ILPIN"	"EE & RK, MG, MCG"	6/16/2015	Polygonaceae			2.05														P	3			Abiotic	Vernal	May	5	August	4	C3	red;green	incomplete;no petals;regular	achene	panicle;raceme	primary	0	1	0	0	0	0	0	0	perfect	common	F	F	H	0	FACW	FACW							Y	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Yellow	1	
Salix glauca				0		Grayleaf Willow						"north america, too big"	MCG	9/18/2015	Salicaceae																																	Y																																																		#N/A	#N/A
Salix humilis				0		Prairie Willow						too big		9/22/2015	Salicaceae																																	Y														FACU																																		** SPLICE **		#N/A	#N/A
Salvia azurea	Salvia azurea	Salvia azurea		0					Salvia azurea			IL Threatened	MCG	7/16/2015	Lamiaceae																	P					Aestival	July		September	3	C3	blue	complete;irregular	nut	spike	primary		Y							perfect	uncommon	F	F	H	0	UPL	UPL							N	N																										Have seed		
Salvia lyrata	Salvia lyrata	Salvia lyrata	sallyr	sallyr		Cancer Weed		Include	Salvia lyrata			"0, non native to MN"	"MG, MCG"	6/16/2015	Lamiaceae																	P	3				Vernal	April	4	June	3	C3	blue;violet	complete;irregular	nut	spike	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	FACW	FACW							N	N																										Red		
Saxifraga pensylvanica	Saxifraga pensylvanica	Saxifraga pensylvanica	saxpen	saxpen			Saxifraga pensylvanica					"0, FACW, per WI Atlas, found in mesic prairies"	MCG	9/23/2015	Saxifragaceae																	P																Y										F	F	H	0	FACW	FACW							Y																										** SPLICE **		#N/A	#N/A
Schizachyrium scoparium	Schizachyrium scoparium	Schizachyrium scoparium	schsco	schsco	Andropogon scoparius	Little False Bluestem	Schizachyrium scoparium	Include	Schizachyrium scoparium	Include	1	0			Poaceae	UW		0.578	548.9	112.7	1.39	44.18		52.6	0.04	77.84	59.18	21.33	0.27	0.34		P	3	hemicryptophytes	Animal	Abiotic	Autumnal	August	8	October	3	C4		complete	grain	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect;other	occasional	G	G	H	0	FACU	FACU	4.4					4.4	Y																										seq	Green	1	1
Scirpus pendulus	Scirpus pendulus	Scirpus pendulus		0		Rufous Bulrush			Scirpus pendulus			wetland specialist	"EE & RK, MG"	6/16/2015	Cyperaceae			0.06									121.92					P												complete;regular	achene	umbel	adventitious;fibrous	Y				Y				perfect	common	G	G		0	OBL	OBL							Y		1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1			#N/A	#N/A
Scleria triglomerata				0		Tall Nut Rush						"0, new"		9/22/2015	Cyperaceae			4.9									100																					Y										F	F			FAC										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **		#N/A	#N/A
Scrophularia marilandica	Scrophularia marilandica	Scrophularia marilandica		0		Carpenter's-Square			Scrophularia marilandica			woodland species	"MG, MCG"	6/16/2015	Scrophulariaceae																	P										C3	others	complete;irregular	capsule	panicle	primary		Y							perfect	occasional				0	FACU	FACU							Y																												#N/A	#N/A
Scutellaria parvula	Scutellaria parvula	Scutellaria parvula	scupar	scupar		Small Skullcap	Scutellaria parvula	Include		Include		"0, prefers sand but also found on M & DM prairies per ILPIN"	MCG	9/24/2015	Lamiaceae	TRY				294.9	1.19											P	3				Vernal	May	5	July	3	C3	blue	complete;irregular	nut	solitary	primary;adventitious;stolons;tubers	1	1	0	0	0	0	1	1	perfect	occasional	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
Senna hebecarpa	Senna hebecarpa	Senna hebecarpa	senheb	senheb	Cassia hebecarpa	American Wild Sensitive-Plant		Include	Senna hebecarpa	Include		"0, N fix"	"MG, MCG"	6/16/2015	Fabaceae	MOR			437.7					484.1		127.15	108.05		0.13		47.04	P	3				Aestival	July	7	August	2	C3	yellow	complete	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	1	FACW	FACW							N	N																										Green	1	1
Senna marilandica	Senna marilandica	Senna marilandica	senmar	senmar	Cassia marilandica	Maryland Wild Sensitive-Plant		Include	Senna marilandica			"0, N fix, non native to MN"	"MG, MCG"	6/16/2015	Fabaceae																	P	3				Aestival	July	7	August	2	C3	yellow	complete	legume	raceme	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	1	FACW	FACW							N	N																										Green	1	1
Silene antirrhina				0		Sleepy Catchfly		Include				"0, new, sand species also found in DM  prairies per WI Atlas and cultivated soils per Swink"	MCG	9/25/2015	Caryophyllaceae			0.092														AB	1.5				Vernal	May	5	July	3	C3	red;white	complete;regular	capsule	dischasium	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL										0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Silene regia	Silene regia	Silene regia		0					Silene regia			IL Endangered	MCG	7/15/2015	Caryophyllaceae																	P					Aestival	July		August		C3	red	complete;regular	capsule	solitary	primary		Y							perfect	rare	F	F	H	0	UPL	UPL							N																											Have seed		
Silene stellata	Silene stellata	Silene stellata	silste	silste		Starry Campion	Silene stellata	Include	Silene stellata	Include	1	"0, listed as prairie sp in ILPIN"	MCG	11/18/2015	Caryophyllaceae	MOR		0.63	277.1					405		90.37	59.66		0.23			P	3				Aestival	June	6	August	3	C3	white	complete;regular	capsule	panicle	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL	UPL							Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	seq	Green	1	1
Silphium asteriscus var. trifoliatum	Silphium asteriscus	Silphium asteriscus		0	Silphium trifoliatum			Include	Silphium trifoliatum			"0, rare"	MCG	7/16/2015	Asteraceae																	P	3				Aestival	July	7	September	3	C3	yellow		achene	panicle;corymb;head	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	unisexual;monoecious	rare	F	F	H	0	UPL								N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Silphium integrifolium	Silphium integrifolium	Silphium integrifolium	silint	silint		Entire-Leaf Rosinweed	Silphium integrifolium	Include	Silphium integrifolium	Include	1	0			Asteraceae	UW		8.4755	37.8	92.2	1.47	44.46		362.6	0.54	160.24	151.17	9.19	0.55	4.21		P	3	hemicryptophytes	Animal/Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	yellow		achene	panicle;corymb;head	adventitious;rhizomes	1	0	0	0	0	1	0	0	unisexual;monoecious		F	F	H	0	FACU	FAC	16.8	16.9	16.9			16.9	Y		0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	seq	Green	1	1
Silphium laciniatum	Silphium laciniatum	Silphium laciniatum	sillac	sillac		Compass Plant	Silphium laciniatum	Include	Silphium laciniatum	Include	1	0			Asteraceae	UW		24.6119	295.3	67.6	1.74	41.2	0.21	26.7	0.04	170.29	125.8	25.36	0.62	17.68	61.88	P	3	hemicryptophytes	Animal/Wind	Biotic Unspecialized	Aestival	June	6	September	4	C3	yellow		achene	raceme;head	primary	0	1	0	0	0	0	0	0	unisexual;monoecious	common	F	F	H	0	FACU	FACU	16.7					16.7	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Silphium perfoliatum	Silphium perfoliatum	Silphium perfoliatum		0		Cup-Plant			Silphium perfoliatum			aggressive	"MG, MCG"	6/16/2015	Asteraceae	UW		7.1471	255.9	107.4	2.02	43.35		271.9	0.38	192.93	171.74	25.26	0.56	14.02	0	P		hemicryptophytes	Animal/Wind	Biotic Unspecialized	Aestival	July		September	3		yellow		achene	panicle;corymb;head	adventitious;rhizomes	Y								unisexual;monoecious	common				0	FACW	FACW	16.6					16.6	Y		1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Silphium terebinthinaceum	Silphium terebinthinaceum	Silphium terebinthinaceum	silter	silter		Prairie Rosinweed	Silphium terebinthinaceum	Include	Silphium terebinthinaceum	Include	1	0			Asteraceae	UW		9.4675	277.4	83.4	1.61	41.94		278.2	0.32	241.13	94.24	36.17	0.58	27.06	447.63	P	3	hemicryptophytes	Animal/Wind	Biotic Unspecialized	Aestival	July	7	September	3	C3	yellow		achene	panicle;corymb;head	primary	0	1	0	0	0	0	0	0	unisexual;monoecious	common	F	F	H	0	FAC	FAC	14	16.1	15.1			15.1	Y		0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	seq	Green	1	1
Sisyrinchium albidum	Sisyrinchium albidum	Sisyrinchium albidum	sisalb	sisalb		White Blue-Eyed-Grass	Sisyrinchium albidum	Include	Sisyrinchium albidum	Include	1	0			Iridaceae	TRY		0.4														P	3				Vernal	April	4	June	3	C3	violet;white	complete;regular	capsule	umbel	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	common	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	** SPLICE **	Orange	1	
Sisyrinchium angustifolium	Sisyrinchium angustifolium	Sisyrinchium angustifolium	sisang	sisang	Sisyrinchium bermudiana	Common Blue-Eyed-Grass		Include	Sisyrinchium angustifolium	Include		"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Iridaceae			0.5997									60.96					P	3				Vernal	May	5	June	2	C3	violet	complete;regular	capsule	umbel	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	common	F	F	H	0	FAC	FAC							Y	N	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	genus	Green	1	1
Sisyrinchium campestre	Sisyrinchium campestre	Sisyrinchium campestre		0		Prairie Blue-Eyed Grass		Include	Sisyrinchium campestre			"0, rare"	MCG	7/15/2015	Iridaceae	UW		0.1712	363.9	141.8	1.4	42.36		367.6	0.03	23.9	21.67	14.38	0.27	0.16		P	3	hemicryptophytes	Animal	Biotic Unspecialized	Vernal	May	5	July	3	C3	blue;white	complete;regular	capsule	umbel	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	rare	F	F	H	0	UPL	UPL							N		0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	genus	Orange	1	
Smilacina racemosa	Smilacina racemosa	Smilacina racemosa	smirac	smirac	Maianthemum racemosum	Feathery False Solomon's-Seal			Smilacina racemosa			synonym	AH	6/24/2015	Asparagaceae	UW		32.9619	193	327	2.23	44.34	0.19	244	0.57	27.83	21.83	10.93	0.23	4.19	0.92	P		chamaephytes	Internal animal	Biotic Unspecialized	Vernal	May		June	2	C3						Y										F	F	H	0	FACU	FACU					46.6	46.6	Y		0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Smilax hispida				0		Catbrier		Include				"0, new, per convers w Wilhelm"	MCG	9/23/2015	Smilacaceae	UW		49.32	212	434			0.32	321	0.69		51.17	8.16	0.13	5.75	8.21	P	3	phanerophytes	Internal animal	Biotic Unspecialized	Vernal	May	5	June	2	C3	yellow;green	complete;regular	berry	umbel		0	0	0	0	0	0	0	0	unisexual;dioecious	common	V	V	W	0	FAC										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Red		
Smilax lasioneura	Smilax lasioneura	Smilax lasioneura	smilas	smilas	Smilax lasioneuron	Common Carrion Flower	Smilax lasioneura	Include	Smilax lasioneura	Include	1	0	MCG		Smilacaceae	TRY		29.775														P	3		Internal animal		Aestival	June	6	August	3	C3	yellow;green	complete;regular	berry	umbel		0	0	0	0	0	0	0	0	unisexual;dioecious	common	V/F	V	H	0	UPL	UPL	8.8	10.1	9.5			9.5	Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Yellow	1	
Solidago gigantea	Solidago gigantea	Solidago gigantea	solgig	solgig		Late Goldenrod	Solidago gigantea		Solidago gigantea		1	wetland specialist	"MG, MCG"	6/16/2015	Asteraceae	UW		0.1223	323	184	2.51	47.91	0.2	418	0.25		107.25	8.69	0.19	1.51	1.31	P		geophytes	Wind	Biotic Unspecialized	Aestival	July		October	4	C3	yellow	complete;incomplete;regular;irregular	achene	head	adventitious;fibrous;rhizomes	Y				Y	Y			perfect;unisexual;monoecious	common	F		H	0	FACW	FACW	2.1	2.2	2.15	3.64		2.15	Y		1	1	1	1	1	2	1	1	1	0	1	4	2	0	1	1	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Solidago graminifolia	Solidago graminifolia	Solidago graminifolia	solgra	solgra	Euthamia graminifolia		Solidago graminifolia		Solidago graminifolia		1	synonym	"AH, MCG"	6/22/2015	Asteraceae			0.09	388.2	117.9	2.08						0.8					P		geophytes;hemicryptophytes		Biotic Unspecialized						C3						Y										F	F	H	0	FACW	FACW							Y		0	0	0	0	0	1	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Solidago gymnospermoides	Solidago gymnospermoides	Solidago gymnospermoides	solgym	solgym	Euthamia gymnospermoides	Grassleaf Goldenrod	Solidago gymnospermoides	Include		Include		0			Asteraceae																	P	3				Autumnal	August	8	October	3	C3	yellow	complete;regular;irregular	achene	corymb;head	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	perfect;unisexual;monoecious	occasional	F	F	H	0	FAC	FAC							Y	N																									** SPLICE **	Red		
Solidago juncea	Solidago juncea	Solidago juncea	soljun	soljun		Early Goldenrod	Solidago juncea	Include	Solidago juncea	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Asteraceae	MOR	TRY	0.2318	377.3					500.6		90.77	76.31		0.23		13.95	P	3				Aestival	July	7	August	2	C3	yellow	complete;incomplete;regular;irregular	achene	head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	UPL	UPL							Y		0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Solidago missouriensis	Solidago missouriensis	Solidago missouriensis	solmis	solmis	Solidago missouriensis v. fasciculata	Missouri Goldenrod	Solidago missouriensis	Include		Include		0			Asteraceae	TRY		0.2957		106.1	1.33						91.44					P	3				Autumnal	August	8	September	2	C3	yellow	complete;incomplete;regular;irregular	achene	panicle;head	adventitious;fibrous;rhizomes	1	0	0	0	1	1	0	0	perfect;unisexual;monoecious	common	F	F	H	0	UPL	UPL							N	N	1	1	1	1	1	1	1	1	1	1	1	6	6	0	1	1	0	1	1	1	1	1	1	1	** SPLICE **	Red		
Solidago nemoralis	Solidago nemoralis	Solidago nemoralis	solnem	solnem		Old-Field Goldenrod	Solidago nemoralis	Include	Solidago nemoralis	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Asteraceae	UW		0.1186	385.4	94.2	1.28	44.29	0.12	467.3	0.22	52.87	46.39	6.43	0.39	0.84		P	3	hemicryptophytes	Wind	Biotic Unspecialized	Autumnal	August	8	October	3	C3	yellow	complete;regular;irregular	achene	panicle;head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	UPL	UPL	3.5					3.5	Y		1	1	1	1	1	1	1	1	1	4	1	9	5	0	1	1	0	1	1	1	1	1	1	1	seq	Green	1	1
Solidago ohioensis	Solidago ohioensis	Solidago ohioensis	solohi	solohi		Ohio Goldenrod	Solidago ohioensis		Solidago ohioensis		1	wetland specialist	"EE & RK, MG, MCG"	6/16/2015	Asteraceae			0.2136														P											yellow	complete;regular;irregular	achene	corymb;head	adventitious;fibrous	Y				Y				perfect;unisexual;monoecious	occasional	F	F	H	0	OBL	OBL							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Solidago patula	Solidago patula	Solidago patula		0		Round-Leaf Goldenrod			Solidgao patula			wetland specialist	"EE & RK, MG, MCG"	6/16/2015	Asteraceae			0.8093									201.17					P											yellow	complete;regular;irregular	achene	panicle;head	adventitious;fibrous	Y				Y				perfect;unisexual;monoecious	occasional	F	F		0	OBL	OBL							N		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Solidago ptarmicoides	Solidago ptarmicoides	Solidago ptarmicoides	solpta	solpta	"Aster ptarmicoides, Oligoneuron album"	Prairie Goldenrod			Solidgao ptarmicoides	Include		"gravel specialist per ILPIN, IL wildflower"	MCG		Asteraceae																	P				Biotic Unspecialized	Autumnal	August		September	2	C3	white	complete;regular;irregular	achene	corymb;head	adventitious;fibrous	Y				Y				perfect;unisexual;monoecious	occasional	F	F	H	0	UPL	UPL	1.9					1.9	N	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			#N/A	#N/A
Solidago riddellii	Solidago riddellii	Solidago riddellii	solrid	solrid		Riddell's Goldenrod	Solidago riddellii		Solidago riddellii		1	wetland specialist	MCG	7/30/2015	Asteraceae			0.2														P					Autumnal	August		September	2		yellow	complete;regular;irregular	achene	corymb;head	adventitious;fibrous;rhizomes	Y				Y	Y			perfect;unisexual;monoecious	occasional	F	F	H	0	OBL	OBL	1.7					1.7	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Solidago rigida	Solidago rigida	Solidago rigida	solrig	solrig	Oligoneuron rigidum	Hard-Leaf Flat-Top-Goldenrod	Solidago rigida	Include	Solidago rigida	Include	1	0			Asteraceae	UW		0.399	382.6	91.2	1.19	44.33	0.12	461.2	0.61	85.73	80.33	4.78	0.46	1.92	1.21	P	3	hemicryptophytes	Wind/Endozoochory	Biotic Unspecialized	Aestival	July	7	October	4	C3	yellow	complete;incomplete;regular;irregular	achene	corymb;head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	FACU	FACU	2	3.6	2.8			2.8	Y		0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	2	2	2	2	2	0	seq	Green	1	1
Solidago speciosa	Solidago speciosa	Solidago speciosa	solspe	solspe	Solidago speciosa var. speciosa	Showy Goldenrod	Solidago speciosa	Include	Solidago speciosa	Include	1	"0, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Asteraceae	UW		0.1929	36.9	86.1	1.19	46.06		454.2	0.36	83.93	73.92	5.09	0.33	1		P	3	hemicryptophytes	Wind	Biotic Unspecialized	Autumnal	August	8	October	3	C3	yellow	complete;regular;irregular	achene	head	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect;unisexual;monoecious	common	F	F	H	0	UPL	UPL	4.4					4.4	Y		0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Sorghastrum nutans	Sorghastrum nutans	Sorghastrum nutans	sornut	sornut		Yellow Indian Grass	Sorghastrum nutans	Include	Sorghastrum nutans	Include	1	0			Poaceae	UW		0.6843	459.6	11.3	1.27	41.72	0.13	453.4	0.08	164.5	145.09	31.32	0.28	0.95		P	3	geophytes	Unassisted	Abiotic	Autumnal	August	8	September	2	C4		complete	grain	panicle	adventitious;rhizomes	1	0	0	0	0	1	0	0	perfect	common	G	G	H	0	FACU	FACU	5.6					5.6	Y		1	1	1	1	1	1	1	1	1	0	1	54	55	1	1	3	3	3	3	3	3	3	3	1	seq	Green	1	1
Spartina pectinata	Spartina pectinata	Spartina pectinata	spapec	spapec		Freshwater Cord Grass	Spartina pectinata		Spartina pectinata		1	Aggressively rhizomatous	"EE & RK, MG"	6/17/2015	Poaceae	UW		1.1671	533.2	77.6	1.65	43.71		449.6		210.83	212.78	69.8	0.32	1.15	0	P		geophytes	Animal	Abiotic	Autumnal	August		September	2	C4		complete	grain	panicle	adventitious;rhizomes	Y					Y			perfect	occasional	G		H	0	FACW	FACW	1.5					1.5	Y		1	1	1	1	1	2	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Sphenopholis obtusata	Sphenopholis obtusata	Sphenopholis obtusata	sphobt	sphobt		Prairie Wedgescale		Include	Sphenopholis obtusata	Include		0			Poaceae																	AP	2				Vernal	May	5	July	3	C3		complete	grain	panicle	adventitious	1	0	0	0	0	0	0	0	perfect	occasional	G	G	H	0	FAC	FAC							N	N																										Yellow	1	
Spiraea alba				0		Meadowsweet		Include				"0, new, FACW, listed as prairie sp in TallgrassRH"	MCG	11/18/2015	Rosaceae	UW		0.8812	528.3	142	1.85		0.12	563.1	0.35	87.45	81.68	5.76	0.17	1.46	4.69	P	3	chamaephytes	Unassisted	Biotic Unspecialized	Aestival	June	6	August	3	C3	white	complete;regular	follicle	panicle	primary	0	1	0	0	0	0	0	0	perfect	occasional	S/SS	SS	W	0	FACW										1	1	1	1	1	2	1	1	1	0	1	0	0	8	1	5	0	1	1	1	1	1	1	1	seq	Green	1	1
Spiraea tomentosa				0		Hardhack		Include				"0, new, FACW"	MCG	9/18/2015	Rosaceae			0.4124		154.3	1.86		0.18				121.92					P	3			Biotic Unspecialized	Aestival	July	7	August	2	C3	red	complete;regular	follicle	panicle	primary	0	1	0	0	0	0	0	0	perfect	rare	S/SS	SS	W	0	FACW										1	1	1	1	1	2	1	1	1	0	1	2	1	10	1	8	0	2	2	2	2	2	2	1	genus	Yellow	1	
Sporobolus cryptandrus	Sporobolus cryptandrus	Sporobolus cryptandrus	spocry	spocry		Sand Dropseed			Sporobolus cryptandrus	Include		sand specialist	MCG	9/23/2015	Poaceae			0.1017		258.7	2.51						82.86					P					Autumnal	August		October	3	C4		complete	grain	panicle	adventitious	Y								perfect	occasional	G	G	H	0	FACU	FACU							N	N	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	seq		#N/A	#N/A
Sporobolus heterolepis	Sporobolus heterolepis	Sporobolus heterolepis	spohet	spohet		Prairie Dropseed	Sporobolus heterolepis	Include	Sporobolus heterolepis	Include	1	0			Poaceae	MOR		1.4663	500.9					429.1		103.29	55.95		0.13			P	3				Autumnal	August	8	September	2	C4		complete	grain	panicle	adventitious	1	0	0	0	0	0	0	0	perfect	occasional	G	G	H	0	FACU	FACU	2.1					2.1	Y		1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	** SPLICE **	Green	1	1
Stachys tenuifolia	Stachys tenuifolia	Stachys tenuifolia		0		Smooth Hedge-Nettle	Stachys tenuifolia					wetland specialist	"EE & RK, MG"	6/17/2015	Lamiaceae																	P										C3	violet	complete;irregular	nut	spike	primary		Y							perfect	occasional				0	OBL	FACW							Y																												#N/A	#N/A
Strophostyles helvola	Strophostyles helvola	Strophostyles helvola	strhel	strhel		Trailing Fuzzy-Bean			Strophostyles helvula			"woodland species, N fix"	"EE & RK, MG"	6/17/2015	Fabaceae			57.6														A										C3	red;green;violet	complete;irregular	legume	solitary	primary		Y							perfect	occasional	V/F	V	H	1	FAC	FAC							N		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
